Question,Company,Category,Complexity,Experience Level,Years of Experience
"As a APM at Airbnb, how would you improve onboarding for Listings under strict privacy rules? Which metrics (DAU/MAU, CSAT) prove success?",Airbnb,Strategic,Easy,APM,0-2
"Design an MVP to boost conversion rate for Reviews at Airbnb focusing on search. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Leadership,Easy,APM,0-2
Prioritize a roadmap for notifications at Airbnb's Host tools. How do you balance speed vs quality? NPS.,Airbnb,Metrics,Easy,APM,0-2
"At Airbnb, Search sees a drop in ARPU. As APM, diagnose, propose experiments, and define success criteria including DAU/MAU.",Airbnb,Growth,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift session length. Detail segmentation, channels, and how you'd partner with security given global rollout risk.",Airbnb,Customer Obsession,Easy,APM,0-2
You're the APM at Airbnb. Redesign trust & safety in Listings to reduce LTV.,Airbnb,Foundation,Easy,APM,0-2
"At Airbnb, scale ads quality for Reviews to new regions with strict privacy rules. What KPIs (successful payments, fill rate) and review cadence would you set?",Airbnb,Behavioral,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track support ticket volume? Include event taxonomy and A/B testing plan for creator tools.,Airbnb,Execution,Easy,APM,0-2
Define a strategy to handle seasonality for marketplace in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Technical,Easy,APM,0-2
Propose a deprecation plan for a legacy B2B admin feature in Trust at Airbnb. How do you mitigate risk to churn and inform legal?,Airbnb,General,Easy,APM,0-2
"As a APM at Airbnb, how would you improve data privacy for Listings under global rollout risk? Which metrics (average order value, query success rate) prove success?",Airbnb,UXProduct Design,Easy,APM,0-2
"Design an MVP to boost CAC for Reviews at Airbnb focusing on internationalization. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,Strategy,Easy,APM,0-2
Prioritize a roadmap for reliability at Airbnb's Host tools. How do you balance speed vs quality? click-through rate.,Airbnb,Strategic (Product sense),Easy,APM,0-2
"At Airbnb, Search sees a drop in error rate. As APM, diagnose, propose experiments, and define success criteria including NPS.",Airbnb,General Personal,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift upsell rate. Detail segmentation, channels, and how you'd partner with design given seasonality spikes.",Airbnb,Leadership Communication,Easy,APM,0-2
You're the APM at Airbnb. Redesign mobile performance in Listings to reduce latency p95.,Airbnb,Strategic Data-driven,Easy,APM,0-2
"At Airbnb, scale growth loops for Reviews to new regions with global rollout risk. What KPIs (retention D30, support ticket volume) and review cadence would you set?",Airbnb,Strategic Prioritization,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track CSAT? Include event taxonomy and A/B testing plan for conversion funnels.,Airbnb,Strategic (Design),Easy,APM,0-2
Define a strategy to handle seasonality for retention in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Strategic Market,Easy,APM,0-2
Propose a deprecation plan for a legacy churn prevention feature in Trust at Airbnb. How do you mitigate risk to query success rate and inform finance?,Airbnb,Strategic Design,Easy,APM,0-2
"As a APM at Airbnb, how would you improve A/B testing for Listings under seasonality spikes? Which metrics (latency p95, refund rate) prove success?",Airbnb,Strategic Customer focus,Easy,APM,0-2
"Design an MVP to boost refund rate for Reviews at Airbnb focusing on accessibility. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,Estimation Analytical,Easy,APM,0-2
Prioritize a roadmap for SEO at Airbnb's Host tools. How do you balance speed vs quality? DAU/MAU.,Airbnb,Estimation Product sense,Easy,APM,0-2
"At Airbnb, Search sees a drop in conversion rate. As APM, diagnose, propose experiments, and define success criteria including session length.",Airbnb,Leadership Behavioral,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift NPS. Detail segmentation, channels, and how you'd partner with support given strict privacy rules.",Airbnb,Strategic Collaboration,Easy,APM,0-2
You're the APM at Airbnb. Redesign pricing & packaging in Listings to reduce DAU/MAU.,Airbnb,Behavioral Data-driven,Easy,APM,0-2
"At Airbnb, scale subscriptions for Reviews to new regions with seasonality spikes. What KPIs (session length, churn) and review cadence would you set?",Airbnb,Behavioral Collaboration,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track fill rate? Include event taxonomy and A/B testing plan for self-serve.,Airbnb,Leadership Execution,Easy,APM,0-2
Define a strategy to handle seasonality for enterprise controls in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Remote,Easy,APM,0-2
Propose a deprecation plan for a legacy workflow automation feature in Trust at Airbnb. How do you mitigate risk to support ticket volume and inform sales?,Airbnb,Product sense Strategic,Easy,APM,0-2
"As a APM at Airbnb, how would you improve analytics for Listings under strict privacy rules? Which metrics (time-to-first-action, conversion rate) prove success?",Airbnb,Data Analytical Problem-solving,Easy,APM,0-2
"Design an MVP to boost churn for Reviews at Airbnb focusing on insights. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Metrics Data,Easy,APM,0-2
Prioritize a roadmap for ML ranking at Airbnb's Host tools. How do you balance speed vs quality? average order value.,Airbnb,General Product sense,Easy,APM,0-2
"At Airbnb, Search sees a drop in CAC. As APM, diagnose, propose experiments, and define success criteria including successful payments.",Airbnb,Behavioral Prioritization,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift click-through rate. Detail segmentation, channels, and how you'd partner with compliance given global rollout risk.",Airbnb,Product design Product sense,Easy,APM,0-2
You're the APM at Airbnb. Redesign customer support in Listings to reduce NPS.,Airbnb,General Communication,Easy,APM,0-2
"At Airbnb, scale SLA for Reviews to new regions with strict privacy rules. What KPIs (upsell rate, CAC) and review cadence would you set?",Airbnb,Analytical Problem-solving,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track activation rate? Include event taxonomy and A/B testing plan for onboarding.,Airbnb,Crisis Management Strategy,Easy,APM,0-2
Define a strategy to handle seasonality for search in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Growth Strategy,Easy,APM,0-2
Propose a deprecation plan for a legacy notifications feature in Trust at Airbnb. How do you mitigate risk to CSAT and inform data science?,Airbnb,Leadership Team Management,Easy,APM,0-2
"As a APM at Airbnb, how would you improve recommendations for Listings under global rollout risk? Which metrics (LTV, ARPU) prove success?",Airbnb,Product sense UX Improvement,Easy,APM,0-2
"Design an MVP to boost query success rate for Reviews at Airbnb focusing on payments. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,Product Launch Go-to-market,Easy,APM,0-2
Prioritize a roadmap for trust & safety at Airbnb's Host tools. How do you balance speed vs quality? latency p95.,Airbnb,AB Testing Metrics Trade-off Analysis,Medium,APM,0-2
"At Airbnb, Search sees a drop in refund rate. As APM, diagnose, propose experiments, and define success criteria including time-to-first-action.",Airbnb,Product sense Engagement,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift DAU/MAU. Detail segmentation, channels, and how you'd partner with engineering given seasonality spikes.",Airbnb,Technical System Design (URL shortening),Medium,APM,0-2
You're the APM at Airbnb. Redesign marketplace in Listings to reduce session length.,Airbnb,Pricing System Design,Medium,APM,0-2
"At Airbnb, scale B2B admin for Reviews to new regions with global rollout risk. What KPIs (NPS, error rate) and review cadence would you set?",Airbnb,Metrics Analysis Problem-solving,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track ARPU? Include event taxonomy and A/B testing plan for data privacy.,Airbnb,Product sense Strategy,Medium,APM,0-2
Define a strategy to handle seasonality for internationalization in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Product sense Prioritization,Medium,APM,0-2
Propose a deprecation plan for a legacy reliability feature in Trust at Airbnb. How do you mitigate risk to fill rate and inform ops?,Airbnb,Metrics Success Criteria,Medium,APM,0-2
"As a APM at Airbnb, how would you improve latency for Listings under seasonality spikes? Which metrics (successful payments, fill rate) prove success?",Airbnb,Metrics Product health,Medium,APM,0-2
"Design an MVP to boost support ticket volume for Reviews at Airbnb focusing on security. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,Product sense Problem-solving,Medium,APM,0-2
Prioritize a roadmap for mobile performance at Airbnb's Host tools. How do you balance speed vs quality? time-to-first-action.,Airbnb,AB Testing Growth,Medium,APM,0-2
"At Airbnb, Search sees a drop in churn. As APM, diagnose, propose experiments, and define success criteria including average order value.",Airbnb,Strategy Product vision,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift average order value. Detail segmentation, channels, and how you'd partner with marketing given strict privacy rules.",Airbnb,Problem-solving Engagement,Medium,APM,0-2
You're the APM at Airbnb. Redesign retention in Listings to reduce successful payments.,Airbnb,System Design,Medium,APM,0-2
"At Airbnb, scale churn prevention for Reviews to new regions with seasonality spikes. What KPIs (click-through rate, activation rate) and review cadence would you set?",Airbnb,Product Sense,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track error rate? Include event taxonomy and A/B testing plan for A/B testing.,Airbnb,Launch,Medium,APM,0-2
Define a strategy to handle seasonality for accessibility in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Pricing,Medium,APM,0-2
Propose a deprecation plan for a legacy SEO feature in Trust at Airbnb. How do you mitigate risk to activation rate and inform security?,Airbnb,Success Criteria,Medium,APM,0-2
"As a APM at Airbnb, how would you improve spam prevention for Listings under strict privacy rules? Which metrics (retention D30, support ticket volume) prove success?",Airbnb,Prioritization,Medium,APM,0-2
"Design an MVP to boost CSAT for Reviews at Airbnb focusing on fraud detection. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Product Health,Medium,APM,0-2
Prioritize a roadmap for pricing & packaging at Airbnb's Host tools. How do you balance speed vs quality? LTV.,Airbnb,AB Testing,Medium,APM,0-2
"At Airbnb, Search sees a drop in query success rate. As APM, diagnose, propose experiments, and define success criteria including click-through rate.",Airbnb,Strategic,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift latency p95. Detail segmentation, channels, and how you'd partner with legal given global rollout risk.",Airbnb,Leadership,Medium,APM,0-2
You're the APM at Airbnb. Redesign enterprise controls in Listings to reduce time-to-first-action.,Airbnb,Metrics,Medium,APM,0-2
"At Airbnb, scale workflow automation for Reviews to new regions with strict privacy rules. What KPIs (DAU/MAU, CSAT) and review cadence would you set?",Airbnb,Growth,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track conversion rate? Include event taxonomy and A/B testing plan for analytics.,Airbnb,Customer Obsession,Medium,APM,0-2
Define a strategy to handle seasonality for insights in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Foundation,Medium,APM,0-2
Propose a deprecation plan for a legacy ML ranking feature in Trust at Airbnb. How do you mitigate risk to ARPU and inform design?,Airbnb,Behavioral,Medium,APM,0-2
"As a APM at Airbnb, how would you improve content moderation for Listings under global rollout risk? Which metrics (session length, churn) prove success?",Airbnb,Execution,Medium,APM,0-2
"Design an MVP to boost fill rate for Reviews at Airbnb focusing on knowledge base. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,Technical,Medium,APM,0-2
Prioritize a roadmap for customer support at Airbnb's Host tools. How do you balance speed vs quality? successful payments.,Airbnb,General,Medium,APM,0-2
"At Airbnb, Search sees a drop in support ticket volume. As APM, diagnose, propose experiments, and define success criteria including upsell rate.",Airbnb,UXProduct Design,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift time-to-first-action. Detail segmentation, channels, and how you'd partner with finance given seasonality spikes.",Airbnb,Strategy,Medium,APM,0-2
You're the APM at Airbnb. Redesign search in Listings to reduce average order value.,Airbnb,Strategic (Product sense),Medium,APM,0-2
"At Airbnb, scale notifications for Reviews to new regions with global rollout risk. What KPIs (average order value, query success rate) and review cadence would you set?",Airbnb,General Personal,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track CAC? Include event taxonomy and A/B testing plan for recommendations.,Airbnb,Leadership Communication,Medium,APM,0-2
Define a strategy to handle seasonality for payments in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Strategic Data-driven,Medium,APM,0-2
Propose a deprecation plan for a legacy trust & safety feature in Trust at Airbnb. How do you mitigate risk to error rate and inform support?,Airbnb,Strategic Prioritization,Medium,APM,0-2
"As a APM at Airbnb, how would you improve ads quality for Listings under seasonality spikes? Which metrics (upsell rate, CAC) prove success?",Airbnb,Strategic (Design),Medium,APM,0-2
"Design an MVP to boost activation rate for Reviews at Airbnb focusing on creator tools. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,Strategic Market,Medium,APM,0-2
Prioritize a roadmap for marketplace at Airbnb's Host tools. How do you balance speed vs quality? retention D30.,Airbnb,Strategic Design,Medium,APM,0-2
"At Airbnb, Search sees a drop in CSAT. As APM, diagnose, propose experiments, and define success criteria including retention D30.",Airbnb,Strategic Customer focus,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift LTV. Detail segmentation, channels, and how you'd partner with sales given strict privacy rules.",Airbnb,Estimation Analytical,Hard,APM,0-2
You're the APM at Airbnb. Redesign internationalization in Listings to reduce click-through rate.,Airbnb,Estimation Product sense,Hard,APM,0-2
"At Airbnb, scale reliability for Reviews to new regions with seasonality spikes. What KPIs (latency p95, refund rate) and review cadence would you set?",Airbnb,Leadership Behavioral,Hard,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track refund rate? Include event taxonomy and A/B testing plan for latency.,Airbnb,Strategic Collaboration,Hard,APM,0-2
Define a strategy to handle seasonality for security in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Behavioral Data-driven,Hard,APM,0-2
Propose a deprecation plan for a legacy mobile performance feature in Trust at Airbnb. How do you mitigate risk to conversion rate and inform compliance?,Airbnb,Behavioral Collaboration,Hard,APM,0-2
"As a APM at Airbnb, how would you improve growth loops for Listings under strict privacy rules? Which metrics (NPS, error rate) prove success?",Airbnb,Leadership Execution,Hard,APM,0-2
"Design an MVP to boost ARPU for Reviews at Airbnb focusing on conversion funnels. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Remote,Hard,APM,0-2
Prioritize a roadmap for retention at Airbnb's Host tools. How do you balance speed vs quality? session length.,Airbnb,Product sense Strategic,Hard,APM,0-2
"At Airbnb, Search sees a drop in fill rate. As APM, diagnose, propose experiments, and define success criteria including LTV.",Airbnb,Data Analytical Problem-solving,Hard,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift successful payments. Detail segmentation, channels, and how you'd partner with data science given global rollout risk.",Airbnb,Metrics Data,Hard,APM,0-2
You're the APM at Airbnb. Redesign accessibility in Listings to reduce upsell rate.,Airbnb,General Product sense,Hard,APM,0-2
"At Airbnb, scale SEO for Reviews to new regions with strict privacy rules. What KPIs (time-to-first-action, conversion rate) and review cadence would you set?",Airbnb,Behavioral Prioritization,Hard,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track churn? Include event taxonomy and A/B testing plan for spam prevention.,Airbnb,Product design Product sense,Hard,APM,0-2
Define a strategy to handle seasonality for fraud detection in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,General Communication,Hard,APM,0-2
Propose a deprecation plan for a legacy pricing & packaging feature in Trust at Airbnb. How do you mitigate risk to CAC and inform engineering?,Airbnb,Analytical Problem-solving,Hard,APM,0-2
"As a APM at Airbnb, how would you improve subscriptions for Listings under global rollout risk? Which metrics (click-through rate, activation rate) prove success?",Airbnb,Crisis Management Strategy,Hard,APM,0-2
"Design an MVP to boost error rate for Reviews at Airbnb focusing on self-serve. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,Growth Strategy,Hard,APM,0-2
Prioritize a roadmap for enterprise controls at Airbnb's Host tools. How do you balance speed vs quality? upsell rate.,Airbnb,Leadership Team Management,Hard,APM,0-2
"At Airbnb, Search sees a drop in activation rate. As APM, diagnose, propose experiments, and define success criteria including latency p95.",Airbnb,Product sense UX Improvement,Hard,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift retention D30. Detail segmentation, channels, and how you'd partner with ops given seasonality spikes.",Airbnb,Product Launch Go-to-market,Hard,APM,0-2
You're the APM at Airbnb. Redesign insights in Listings to reduce retention D30.,Airbnb,AB Testing Metrics Trade-off Analysis,Hard,APM,0-2
"At Airbnb, scale ML ranking for Reviews to new regions with global rollout risk. What KPIs (LTV, ARPU) and review cadence would you set?",Airbnb,Product sense Engagement,Hard,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track query success rate? Include event taxonomy and A/B testing plan for content moderation.,Airbnb,Technical System Design (URL shortening),Hard,APM,0-2
Define a strategy to handle seasonality for knowledge base in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Pricing System Design,Hard,APM,0-2
Propose a deprecation plan for a legacy customer support feature in Trust at Airbnb. How do you mitigate risk to refund rate and inform marketing?,Airbnb,Metrics Analysis Problem-solving,Hard,APM,0-2
"As a APM at Airbnb, how would you improve SLA for Listings under seasonality spikes? Which metrics (DAU/MAU, CSAT) prove success?",Airbnb,Product sense Strategy,Hard,APM,0-2
"Design an MVP to boost conversion rate for Reviews at Airbnb focusing on onboarding. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,Product sense Prioritization,Hard,APM,0-2
Prioritize a roadmap for search at Airbnb's Host tools. How do you balance speed vs quality? NPS.,Airbnb,Metrics Success Criteria,Hard,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift session length. Detail segmentation, channels, and how you'd partner with security given strict privacy rules.",Airbnb,Product sense Problem-solving,Hard,APM,0-2
You're the APM at Airbnb. Redesign payments in Listings to reduce LTV.,Airbnb,AB Testing Growth,Hard,APM,0-2
"At Airbnb, scale trust & safety for Reviews to new regions with seasonality spikes. What KPIs (successful payments, fill rate) and review cadence would you set?",Airbnb,Strategy Product vision,Hard,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track support ticket volume? Include event taxonomy and A/B testing plan for ads quality.,Airbnb,Problem-solving Engagement,Hard,APM,0-2
Define a strategy to handle seasonality for creator tools in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,System Design,Hard,APM,0-2
Propose a deprecation plan for a legacy marketplace feature in Trust at Airbnb. How do you mitigate risk to churn and inform legal?,Airbnb,Product Sense,Hard,APM,0-2
"As a APM at Airbnb, how would you improve B2B admin for Listings under strict privacy rules? Which metrics (average order value, query success rate) prove success?",Airbnb,Launch,Hard,APM,0-2
"Design an MVP to boost CAC for Reviews at Airbnb focusing on data privacy. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Pricing,Hard,APM,0-2
Prioritize a roadmap for internationalization at Airbnb's Host tools. How do you balance speed vs quality? click-through rate.,Airbnb,Success Criteria,Hard,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift upsell rate. Detail segmentation, channels, and how you'd partner with design given global rollout risk.",Airbnb,Product Health,Hard,APM,0-2
You're the APM at Airbnb. Redesign security in Listings to reduce latency p95.,Airbnb,AB Testing,Hard,APM,0-2
"At Airbnb, scale mobile performance for Reviews to new regions with strict privacy rules. What KPIs (retention D30, support ticket volume) and review cadence would you set?",Airbnb,Prioritization,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track CSAT? Include event taxonomy and A/B testing plan for growth loops.,Airbnb,Product Health,Easy,APM,0-2
Define a strategy to handle seasonality for conversion funnels in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,AB Testing,Easy,APM,0-2
Propose a deprecation plan for a legacy retention feature in Trust at Airbnb. How do you mitigate risk to query success rate and inform finance?,Airbnb,Strategic,Easy,APM,0-2
"As a APM at Airbnb, how would you improve churn prevention for Listings under global rollout risk? Which metrics (latency p95, refund rate) prove success?",Airbnb,Leadership,Easy,APM,0-2
"Design an MVP to boost refund rate for Reviews at Airbnb focusing on A/B testing. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,Metrics,Easy,APM,0-2
Prioritize a roadmap for accessibility at Airbnb's Host tools. How do you balance speed vs quality? DAU/MAU.,Airbnb,Growth,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift NPS. Detail segmentation, channels, and how you'd partner with support given seasonality spikes.",Airbnb,Foundation,Easy,APM,0-2
You're the APM at Airbnb. Redesign fraud detection in Listings to reduce DAU/MAU.,Airbnb,Behavioral,Easy,APM,0-2
