Question,Company,Category,Complexity,Experience Level,Years of Experience
How would you evaluate the success of a new onboarding flow?,Tesla,Strategic,Complex,Director,3-5 years
How do you prioritize cross-team dependencies when working at LinkedIn?,LinkedIn,Leadership,Complex,Principal PM,0-1 years
How would you evaluate the success of a referral program?,Square,Strategic,Simple,PM,2-3 years
How do you prioritize customer feedback when working at Twilio?,Twilio,Metrics,Complex,Director,2-3 years
What would be your plan to grow market share at Uber?,Uber,Growth,Medium,Group PM,3-5 years
How would you handle technical debt as a PM at Twilio?,Twilio,Customer Obsession,Complex,Director,0-1 years
How would you handle conflicting priorities as a PM at Dropbox?,Adobe,Customer Obsession,Simple,Group PM,0-1 years
Tell me about a time you enter a new market and what you learned.,Dropbox,Foundation,Simple,Group PM,5-8 years
What metrics would you track to improve NPS?,Meta,Leadership,Medium,PM,8+ years
How do you prioritize roadmap planning when working at Apple?,Uber,Behavioral,Simple,Senior PM,8+ years
How would you handle customer complaints as a PM at Airbnb?,Apple,Foundation,Complex,Senior PM,0-1 years
What metrics would you track to grow market share?,Airbnb,Execution,Complex,Director,0-1 years
How would you handle customer complaints as a PM at Atlassian?,Atlassian,Execution,Medium,PM,0-1 years
What metrics would you track to reduce churn?,Google,Strategic,Complex,Group PM,3-5 years
Explain your strategy to launch a new feature in a complex environment.,Atlassian,Customer Obsession,Medium,Director,2-3 years
How do you prioritize feature backlog when working at Dropbox?,Adobe,Technical,Medium,Principal PM,1-2 years
Design a product to increase user engagement for Atlassian.,Apple,Metrics,Complex,Director,2-3 years
Describe how you would sunset a product for Meta.,Adobe,Behavioral,Complex,Director,0-1 years
Explain your strategy to launch a new feature in a medium environment.,Dropbox,Metrics,Medium,Principal PM,2-3 years
How would you approach a major product launch at LinkedIn?,Atlassian,Execution,Medium,Director,3-5 years
How would you evaluate the success of a pricing change?,Atlassian,Strategic,Complex,Director,8+ years
Tell me about a time you scale an MVP and what you learned.,Stripe,Technical,Complex,Director,2-3 years
What would be your plan to increase user engagement at Spotify?,Meta,Customer Obsession,Complex,Principal PM,5-8 years
What would be your plan to increase user engagement at LinkedIn?,Twilio,Foundation,Medium,Principal PM,2-3 years
How would you approach declining engagement at Slack?,LinkedIn,Customer Obsession,Medium,Principal PM,5-8 years
Tell me about a time you reduce churn and what you learned.,Adobe,Growth,Simple,PM,1-2 years
What metrics would you track to increase user engagement?,LinkedIn,Technical,Medium,Principal PM,8+ years
Explain your strategy to launch a new feature in a simple environment.,Google,Growth,Medium,Principal PM,1-2 years
How would you approach a failing product at Airbnb?,Spotify,Technical,Medium,Director,2-3 years
How would you handle customer complaints as a PM at Meta?,Shopify,Metrics,Medium,Principal PM,3-5 years
How would you approach a failing product at Adobe?,Microsoft,Strategic,Complex,Senior PM,0-1 years
Describe how you would reduce churn for Tesla.,LinkedIn,Behavioral,Simple,Principal PM,3-5 years
How do you prioritize feature backlog when working at LinkedIn?,Slack,Foundation,Medium,Senior PM,0-1 years
How would you approach declining engagement at Dropbox?,Salesforce,Leadership,Complex,Director,5-8 years
Explain your strategy to sunset a product in a medium environment.,Uber,Behavioral,Complex,Principal PM,0-1 years
Design a product to increase user engagement for Apple.,Shopify,Execution,Simple,Senior PM,5-8 years
How do you prioritize customer feedback when working at Salesforce?,Airbnb,Strategic,Complex,PM,2-3 years
Explain your strategy to scale an MVP in a simple environment.,Meta,Metrics,Simple,Senior PM,3-5 years
Describe how you would scale an MVP for Dropbox.,Adobe,Behavioral,Simple,Senior PM,8+ years
Describe how you would improve customer retention for Stripe.,Tesla,Technical,Medium,Senior PM,3-5 years
How do you prioritize roadmap planning when working at Amazon?,LinkedIn,Customer Obsession,Simple,Senior PM,8+ years
Describe how you would enter a new market for Stripe.,Dropbox,Growth,Medium,Director,8+ years
Design a product to grow market share for Google.,Meta,Growth,Medium,Group PM,5-8 years
How would you approach rapid growth at LinkedIn?,Stripe,Technical,Complex,Group PM,3-5 years
What would be your plan to improve NPS at Netflix?,Meta,Foundation,Simple,Principal PM,1-2 years
Design a product to increase user engagement for Adobe.,Apple,Strategic,Complex,Principal PM,2-3 years
How would you handle cross-functional alignment as a PM at Microsoft?,Salesforce,Behavioral,Complex,PM,0-1 years
How do you prioritize feature backlog when working at Stripe?,Google,Leadership,Simple,PM,5-8 years
Describe how you would launch a new feature for Tesla.,Apple,Execution,Complex,Director,5-8 years
Tell me about a time you launch a new feature and what you learned.,Dropbox,Growth,Simple,PM,3-5 years
How would you handle conflicting priorities as a PM at Amazon?,Netflix,Strategic,Complex,Principal PM,2-3 years
What would be your plan to increase user engagement at Netflix?,Stripe,Execution,Complex,Senior PM,5-8 years
Explain your strategy to reduce churn in a complex environment.,Slack,Foundation,Complex,Director,3-5 years
How would you handle conflicting priorities as a PM at Tesla?,LinkedIn,Technical,Medium,Group PM,5-8 years
What would be your plan to enhance customer satisfaction at Amazon?,Amazon,Technical,Simple,Group PM,1-2 years
How do you prioritize customer feedback when working at Tesla?,Stripe,Execution,Medium,Director,3-5 years
How do you prioritize customer feedback when working at Shopify?,Twilio,Foundation,Simple,PM,1-2 years
Design a product to enhance customer satisfaction for Microsoft.,Meta,Leadership,Complex,Principal PM,5-8 years
How would you approach a major product launch at Stripe?,Google,Foundation,Medium,Director,1-2 years
Explain your strategy to sunset a product in a complex environment.,LinkedIn,Growth,Medium,Senior PM,0-1 years
