Question,Company,Category,Complexity,Experience Level,Years of Experience
How would you evaluate the success of a new onboarding flow?,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Strategic,Complex,Director,3-5 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Principal PM,0-1 years
How would you evaluate the success of a referral program?,"Amazon, Google, Microsoft, Apple, Meta",Strategic,Simple,PM,2-3 years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Director,2-3 years
What would be your plan to grow market share at Uber?,Uber,Growth,Medium,Group PM,3-5 years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Director,0-1 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,Group PM,0-1 years
Tell me about a time you enter a new market and what you learned.,"Amazon, Google, Microsoft, Apple, Meta",Foundation,Simple,Group PM,5-8 years
What metrics would you track to improve NPS?,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Leadership,Medium,PM,8 years
How do you prioritize roadmap planning when working at Apple?,Apple,Behavioral,Simple,Senior PM,8 years
How would you handle customer complaints as a PM at Airbnb?,Airbnb,Foundation,Complex,Senior PM,0-1 years
What metrics would you track to grow market share?,"Amazon, Google, Microsoft, Apple, Meta",Execution,Complex,Director,0-1 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,PM,0-1 years
What metrics would you track to reduce churn?,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Strategic,Complex,Group PM,3-5 years
Explain your strategy to launch a new feature in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta",Customer Obsession,Medium,Director,2-3 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Principal PM,1-2 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Director,2-3 years
Describe how you would sunset a product for Meta.,Meta,Behavioral,Complex,Director,0-1 years
Explain your strategy to launch a new feature in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta",Metrics,Medium,Principal PM,2-3 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Director,3-5 years
How would you evaluate the success of a pricing change?,"Amazon, Google, Microsoft, Apple, Meta",Strategic,Complex,Director,8 years
Tell me about a time you scale an MVP and what you learned.,"Amazon, Google, Microsoft, Apple, Meta",Technical,Complex,Director,2-3 years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Principal PM,5-8 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Principal PM,5-8 years
Tell me about a time you reduce churn and what you learned.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Growth,Simple,PM,1-2 years
What metrics would you track to increase user engagement?,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Technical,Medium,Principal PM,8 years
Explain your strategy to launch a new feature in a simple environment.,"Amazon, Google, Microsoft, Apple, Meta",Growth,Medium,Principal PM,1-2 years
How would you approach a failing product at Airbnb?,Airbnb,Technical,Medium,Director,2-3 years
How would you handle customer complaints as a PM at Meta?,Meta,Metrics,Medium,Principal PM,3-5 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Senior PM,0-1 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Principal PM,3-5 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Senior PM,0-1 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Director,5-8 years
Explain your strategy to sunset a product in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta",Behavioral,Complex,Principal PM,0-1 years
Design a product to increase user engagement for Apple.,Apple,Execution,Simple,Senior PM,5-8 years
How do you prioritize customer feedback when working at Salesforce?,Salesforce,Strategic,Complex,PM,2-3 years
Explain your strategy to scale an MVP in a simple environment.,"Amazon, Google, Microsoft, Apple, Meta",Metrics,Simple,Senior PM,3-5 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Senior PM,8 years
Describe how you would improve customer retention for Stripe.,Stripe,Technical,Medium,Senior PM,3-5 years
How do you prioritize roadmap planning when working at Amazon?,Amazon,Customer Obsession,Simple,Senior PM,8 years
Describe how you would enter a new market for Stripe.,Stripe,Growth,Medium,Director,8 years
Design a product to grow market share for Google.,Google,Growth,Medium,Group PM,5-8 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Group PM,3-5 years
What would be your plan to improve NPS at Netflix?,Netflix,Foundation,Simple,Principal PM,1-2 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Principal PM,2-3 years
How would you handle cross-functional alignment as a PM at Microsoft?,Microsoft,Behavioral,Complex,PM,0-1 years
How do you prioritize feature backlog when working at Stripe?,Stripe,Leadership,Simple,PM,5-8 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Director,5-8 years
Tell me about a time you launch a new feature and what you learned.,"Amazon, Google, Microsoft, Apple, Meta",Growth,Simple,PM,3-5 years
How would you handle conflicting priorities as a PM at Amazon?,Amazon,Strategic,Complex,Principal PM,2-3 years
What would be your plan to increase user engagement at Netflix?,Netflix,Execution,Complex,Senior PM,5-8 years
Explain your strategy to reduce churn in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Foundation,Complex,Director,3-5 years
What would be your plan to enhance customer satisfaction at Amazon?,Amazon,Technical,Simple,Group PM,1-2 years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,PM,1-2 years
Design a product to enhance customer satisfaction for Microsoft.,Microsoft,Leadership,Complex,Principal PM,5-8 years
How would you approach a major product launch at Stripe?,Stripe,Foundation,Medium,Director,1-2 years
Explain your strategy to sunset a product in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta",Growth,Medium,Senior PM,0-1 years
